date,relativeAltitude,pressure
2018-11-15 12:16:03,0.000000000,1021.967163086 
2018-11-15 12:16:04,-0.026420593,1021.970825195 
2018-11-15 12:16:05,-0.058128357,1021.974426270 
2018-11-15 12:16:06,-0.058128357,1021.974426270 
2018-11-15 12:16:07,-0.163818359,1021.987609863 
2018-11-15 12:16:08,-0.163818359,1021.987609863 
2018-11-15 12:16:09,-0.385772705,1022.014465332 
2018-11-15 12:16:10,-0.507324219,1022.028747559 
2018-11-15 12:16:11,-0.560165405,1022.034912109 
2018-11-15 12:16:12,-1.025215149,1022.091674805 
2018-11-15 12:16:13,-1.157333374,1022.107543945 
2018-11-15 12:16:14,-1.326438904,1022.128051758 
2018-11-15 12:16:15,-1.405708313,1022.137512207 
2018-11-15 12:16:16,-1.437416077,1022.141174316 
2018-11-15 12:16:17,-1.490264893,1022.147949219 
2018-11-15 12:16:18,-1.490264893,1022.147949219 
2018-11-15 12:16:19,-1.521972656,1022.151733398 
2018-11-15 12:16:19,-1.532539368,1022.152709961 
2018-11-15 12:16:20,-1.532539368,1022.152709961 
2018-11-15 12:16:21,-1.521972656,1022.151855469 
2018-11-15 12:16:22,-1.521972656,1022.151733398 
2018-11-15 12:16:23,-1.516685486,1022.151184082 
2018-11-15 12:16:24,-1.500831604,1022.149047852 
2018-11-15 12:16:25,-1.484977722,1022.147216797 
2018-11-15 12:16:26,-1.479698181,1022.146362305 
2018-11-15 12:16:27,-1.479698181,1022.146362305 
2018-11-15 12:16:28,-1.521972656,1022.151611328 
2018-11-15 12:16:29,-1.532539368,1022.153259277 
2018-11-15 12:16:30,-1.558967590,1022.156311035 
2018-11-15 12:16:31,-1.569534302,1022.157104492 
2018-11-15 12:16:32,-1.569534302,1022.157104492 
2018-11-15 12:16:33,-1.569534302,1022.157104492 
2018-11-15 12:16:34,-1.548393250,1022.154663086 
2018-11-15 12:16:34,-1.484977722,1022.147277832 
2018-11-15 12:16:35,-1.479698181,1022.146118164 
2018-11-15 12:16:36,-1.389854431,1022.135925293 
2018-11-15 12:16:37,-1.294731140,1022.124389648 
2018-11-15 12:16:38,-1.204895020,1022.113525391 
2018-11-15 12:16:39,-1.146766663,1022.106262207 
2018-11-15 12:16:40,-1.099205017,1022.100708008 
2018-11-15 12:16:41,-1.099205017,1022.100708008 
2018-11-15 12:16:42,-1.099205017,1022.100769043 
2018-11-15 12:16:43,-1.125625610,1022.103576660 
2018-11-15 12:16:44,-1.146766663,1022.105957031 
2018-11-15 12:16:45,-1.146766663,1022.106384277 
2018-11-15 12:16:46,-1.162620544,1022.108215332 
2018-11-15 12:16:47,-1.183753967,1022.110534668 
2018-11-15 12:16:48,-1.189041138,1022.111083984 
2018-11-15 12:16:49,-1.231315613,1022.116638184 
2018-11-15 12:16:49,-1.231315613,1022.116638184 
2018-11-15 12:16:50,-1.220748901,1022.115478516 
2018-11-15 12:16:51,-1.220748901,1022.115478516 
2018-11-15 12:16:52,-1.220748901,1022.115417480 
2018-11-15 12:16:53,-1.204895020,1022.113281250 
2018-11-15 12:16:54,-1.204895020,1022.113281250 
2018-11-15 12:16:55,-1.204895020,1022.113281250 
2018-11-15 12:16:56,-1.204895020,1022.113037109 
2018-11-15 12:16:57,-1.204895020,1022.113037109 
2018-11-15 12:16:58,-1.252456665,1022.119140625 
2018-11-15 12:16:59,-1.368721008,1022.133239746 
2018-11-15 12:17:00,-1.405708313,1022.137329102 
2018-11-15 12:17:01,-1.558967590,1022.156311035 
2018-11-15 12:17:02,-1.696365356,1022.172973633 
2018-11-15 12:17:03,-1.706939697,1022.174133301 
2018-11-15 12:17:04,-1.728073120,1022.176818848 
2018-11-15 12:17:04,-1.817916870,1022.187194824 
2018-11-15 12:17:05,-1.828483582,1022.188659668 
2018-11-15 12:17:06,-1.833770752,1022.189392090 
2018-11-15 12:17:07,-1.833770752,1022.189392090 
2018-11-15 12:17:08,-1.833770752,1022.189392090 
2018-11-15 12:17:09,-1.823196411,1022.188110352 
2018-11-15 12:17:10,-1.765068054,1022.180786133 
2018-11-15 12:17:11,-1.648803711,1022.167114258 
2018-11-15 12:17:12,-1.611808777,1022.162475586 
2018-11-15 12:17:13,-1.437416077,1022.141174316 
2018-11-15 12:17:14,-1.210182190,1022.114135742 
2018-11-15 12:17:15,-1.083351135,1022.098876953 
2018-11-15 12:17:16,-0.961799622,1022.084045410 
2018-11-15 12:17:17,-0.787406921,1022.062866211 
2018-11-15 12:17:18,-0.787406921,1022.062683105 
2018-11-15 12:17:19,-0.671150208,1022.048706055 
2018-11-15 12:17:19,-0.597160339,1022.039855957 
2018-11-15 12:17:20,-0.502037048,1022.028076172 
2018-11-15 12:17:21,-0.454475403,1022.022705078 
2018-11-15 12:17:22,-0.322357178,1022.006164551 
2018-11-15 12:17:23,-0.301223755,1022.003906250 
2018-11-15 12:17:24,-0.285369873,1022.002075195 
2018-11-15 12:17:25,-0.232521057,1021.995300293 
2018-11-15 12:17:26,-0.142684937,1021.984863281 
2018-11-15 12:17:27,-0.015853882,1021.969726562 
2018-11-15 12:17:28,0.026428223,1021.964416504 
2018-11-15 12:17:29,0.290657043,1021.932495117 
2018-11-15 12:17:36,0.428054810,1021.915832520 
2018-11-15 12:17:36,0.544319153,1021.901367188 
2018-11-15 12:17:36,0.687004089,1021.884643555 
2018-11-15 12:17:36,0.856117249,1021.863952637 
2018-11-15 12:17:36,0.887825012,1021.860412598 
2018-11-15 12:17:36,1.009368896,1021.845703125 
2018-11-15 12:17:36,1.130912781,1021.830688477 
2018-11-15 12:17:36,1.226036072,1021.819396973 
2018-11-15 12:17:37,1.379295349,1021.800842285 
2018-11-15 12:17:38,1.484985352,1021.787963867 
2018-11-15 12:17:39,1.564254761,1021.778564453 
2018-11-15 12:17:40,1.701660156,1021.761718750 
2018-11-15 12:17:41,1.833770752,1021.745666504 
2018-11-15 12:17:42,1.865478516,1021.741882324 
2018-11-15 12:17:43,1.934181213,1021.733459473 
2018-11-15 12:17:44,2.055725098,1021.719116211 
2018-11-15 12:17:45,2.087432861,1021.714965820 
2018-11-15 12:17:46,2.171989441,1021.705200195 
2018-11-15 12:17:47,2.304107666,1021.688903809 
2018-11-15 12:17:48,2.436218262,1021.672668457 
2018-11-15 12:17:49,2.547195435,1021.659301758 
2018-11-15 12:17:49,2.674026489,1021.644042969 
2018-11-15 12:17:50,2.779724121,1021.631164551 
2018-11-15 12:17:51,2.869560242,1021.620605469 
2018-11-15 12:17:52,2.932975769,1021.612548828 
2018-11-15 12:17:53,3.001678467,1021.604309082 
2018-11-15 12:17:54,3.054527283,1021.598144531 
2018-11-15 12:17:55,3.065093994,1021.596618652 
2018-11-15 12:17:56,3.102088928,1021.592529297 
2018-11-15 12:17:57,3.133796692,1021.588500977 
2018-11-15 12:17:58,3.181358337,1021.582763672 
2018-11-15 12:17:59,3.244773865,1021.574768066 
2018-11-15 12:18:00,3.334609985,1021.564331055 
2018-11-15 12:18:01,3.392738342,1021.557067871 
2018-11-15 12:18:02,3.440299988,1021.551757812 
2018-11-15 12:18:03,3.466728210,1021.548461914 
2018-11-15 12:18:04,3.466728210,1021.548217773 
2018-11-15 12:18:04,3.472007751,1021.547790527 
2018-11-15 12:18:05,3.503715515,1021.543945312 
2018-11-15 12:18:06,3.530143738,1021.540588379 
2018-11-15 12:18:07,3.535423279,1021.539672852 
2018-11-15 12:18:08,3.561851501,1021.536743164 
2018-11-15 12:18:09,3.593559265,1021.533081055 
2018-11-15 12:18:10,3.593559265,1021.533081055 
2018-11-15 12:18:11,3.561851501,1021.536804199 
2018-11-15 12:18:12,3.498435974,1021.544738770 
2018-11-15 12:18:13,3.424446106,1021.553283691 
2018-11-15 12:18:14,3.276481628,1021.571533203 
2018-11-15 12:18:15,3.197212219,1021.580749512 
2018-11-15 12:18:16,3.144363403,1021.587280273 
2018-11-15 12:18:17,3.107368469,1021.591796875 
2018-11-15 12:18:18,3.059806824,1021.597351074 
2018-11-15 12:18:19,2.969970703,1021.608337402 
2018-11-15 12:18:19,2.853706360,1021.622619629 
2018-11-15 12:18:20,2.716308594,1021.638793945 
2018-11-15 12:18:21,2.541915894,1021.660217285 
2018-11-15 12:18:22,2.415084839,1021.675537109 
2018-11-15 12:18:23,2.309387207,1021.688171387 
